"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","NHS Non Return Rate","v_CA11N_2281: Number of owner households in non-farm, non-reserve private dwellings","v_CA11N_2282: % of owner households with a mortgage","v_CA11N_2288: Number of tenant households in non-farm, non-reserve private dwellings","v_CA11N_2289: % of tenant households in subsidized housing","v_CA11N_2284: Median monthly shelter costs for owned dwellings ($)","v_CA11N_2286: Median value of dwellings ($)","v_CA11N_2291: Median monthly shelter costs for rented dwellings ($)","v_CA11N_2285: Average monthly shelter costs for owned dwellings ($)","v_CA11N_2287: Average value of dwellings ($)","v_CA11N_2292: Average monthly shelter costs for rented dwellings ($)"
"124","5350110.00","CT","Toronto",0.54554,3393,1458,1345,"35535","35","3520005","3520","0.365",790,43.4,560,11.6,693,401105,900,1158,493093,917
"125","5350111.00","CT","Toronto",0.45581,2623,912,883,"35535","35","3520005","3520","0.401",715,53.8,150,0,1228,384567,849,1266,394041,818
"126","5350112.00","CT","Toronto",0.50172,5031,1967,1826,"35535","35","3520005","3520","0.28600000000000003",1295,51,530,0,1235,400572,903,1209,397298,953
"127","5350113.00","CT","Toronto",0.38225,2696,1201,1061,"35535","35","3520005","3520","0.321",455,67,595,0,1765,799087,949,1912,733180,997
"128","5350114.00","CT","Toronto",0.62462,5318,2488,2321,"35535","35","3520005","3520","0.205",1080,63,1245,22.1,1534,560140,802,1598,639779,888
"129","5350115.00","CT","Toronto",0.37543,4474,1687,1580,"35535","35","3520005","3520","0.322",865,46.2,715,23.1,729,401233,925,1154,441862,962
"130","5350116.00","CT","Toronto",0.68088,4194,1827,1631,"35535","35","3520005","3520","0.275",760,58.6,870,18.4,1803,649296,962,1871,828004,962
"131","5350117.00","CT","Toronto",0.3964,2101,1169,1094,"35535","35","3520005","3520","0.233",645,63.6,445,15.7,1780,699771,982,1997,739201,1204
"132","5350118.00","CT","Toronto",0.69384,3900,2119,1920,"35535","35","3520005","3520","0.27399999999999997",735,44.9,1180,3.4,1436,800798,1650,1777,1016187,1750
"133","5350119.00","CT","Toronto",0.8519,4486,2609,2311,"35535","35","3520005","3520","0.35100000000000003",850,37.9,1460,1.4,1666,1202384,1193,2198,1422749,1377
"134","5350120.00","CT","Toronto",0.25773,1360,719,668,"35535","35","3520005","3520","0.307",420,35.7,245,0,1199,899687,949,1841,1008062,1110
"135","5350121.00","CT","Toronto",0.29736,2210,1266,1187,"35535","35","3520005","3520","0.28300000000000003",745,37.6,445,0,1357,751826,1273,1804,949912,1486
"136","5350122.00","CT","Toronto",0.53381,5931,3611,3458,"35535","35","3520005","3520","0.272",1405,42.7,2055,0,1412,699867,1270,1808,863387,1421
"137","5350123.00","CT","Toronto",0.07501,2151,1532,1471,"35535","35","3520005","3520","0.243",55,58.3,1410,0,1179,449417,1100,1324,545480,1139
"138","5350124.00","CT","Toronto",0.55681,5354,3511,3353,"35535","35","3520005","3520","0.22399999999999998",1020,38.2,2335,2.4,1354,648581,1378,1707,778988,1452
"139","5350125.00","CT","Toronto",1.12047,4508,1610,1567,"35535","35","3520005","3520","0.155",1270,44.7,295,0,1698,1202795,1389,2308,1372646,1543
"140","5350126.00","CT","Toronto",1.44927,4106,1752,1730,"35535","35","3520005","3520","0.287",1245,58.6,485,0,1807,696611,1115,1840,721139,1215
"141","5350127.00","CT","Toronto",0.74046,5367,2317,2283,"35535","35","3520005","3520","0.242",1535,62.4,755,0,1974,698777,1070,1952,763153,1185
"142","5350128.02","CT","Toronto",0.51869,8345,5111,4850,"35535","35","3520005","3520","0.228",1975,58,2875,3.8,1571,501050,1213,1754,591486,1296
"143","5350128.03","CT","Toronto",0.26747,4978,2977,2872,"35535","35","3520005","3520","0.17",425,54.1,2445,7.8,1409,414916,1058,1586,581794,1095
"144","5350128.04","CT","Toronto",0.162,4202,2745,2708,"35535","35","3520005","3520","0.273",1025,65.9,1685,16.7,1556,384686,1099,1621,423882,1131
"145","5350129.00","CT","Toronto",0.92741,4948,2393,2241,"35535","35","3520005","3520","0.225",1040,45.9,1195,5.4,1379,999799,1159,1977,1028208,1295
"146","5350130.00","CT","Toronto",1.27901,3720,1409,1290,"35535","35","3520005","3520","0.28",930,34.1,355,0,1742,1200744,1264,2230,1659682,1457
"147","5350131.00","CT","Toronto",1.04439,5405,2511,2394,"35535","35","3520005","3520","0.266",1385,31.8,1010,0,1470,1102848,1159,1886,1285597,1176
"148","5350132.00","CT","Toronto",0.92464,5473,2112,1996,"35535","35","3520005","3520","0.20600000000000002",1035,50,955,6.8,1425,1001706,1022,1977,1069101,1112
"149","5350133.00","CT","Toronto",0.66745,7001,3480,3348,"35535","35","3520005","3520","0.247",815,49.1,2530,8.3,1197,800716,1144,1813,792497,1140
"150","5350134.00","CT","Toronto",0.41704,2788,1081,1027,"35535","35","3520005","3520","0.295",765,48.7,270,0,1084,802068,1444,1830,815960,1431
"151","5350135.00","CT","Toronto",0.71622,5630,3157,2962,"35535","35","3520005","3520","0.204",1010,60.7,1955,6.9,1938,750237,1147,1967,767712,1216
"152","5350136.01","CT","Toronto",0.19196,6073,3984,3823,"35535","35","3520005","3520","0.355",485,72.9,3345,6.3,1840,425281,1075,1842,471045,1096
